films,shortFilms,tvShows,videoGames,parkAttractions,allies,enemies,_id,name,url
[],[],[],[],[],[],[],6,'Olu Mel,https://api.disneyapi.dev/characters/6
[],[],['Gravity Falls'],[],[],[],[],7,.GIFfany,https://api.disneyapi.dev/characters/7
[],[],"['Lilo & Stitch: The Series', 'Stitch!']",['Disney Tsum Tsum (game)'],[],[],[],10,627,https://api.disneyapi.dev/characters/10
[],[],[],[],['The Timekeeper'],[],[],11,9-Eye,https://api.disneyapi.dev/characters/11
[],[],['Pickle and Peanut'],[],[],[],[],12,90's Adventure Bear,https://api.disneyapi.dev/characters/12
[],[],[],['Epic Mickey 2: The Power of Two'],[],[],[],13,A.B.E.,https://api.disneyapi.dev/characters/13
"['The Computer Wore Tennis Shoes', ""Now You See Him, Now You Don't"", 'The Strongest Man in the World']",[],[],[],[],[],[],14,A.J. Arno,https://api.disneyapi.dev/characters/14
[],[],['Puppy Dog Pals'],[],[],[],[],15,A.R.F.,https://api.disneyapi.dev/characters/15
['Cheetah'],[],[],[],[],[],[],16,Abdullah,https://api.disneyapi.dev/characters/16
[],[],['The Legend of Tarzan'],[],[],[],[],17,Abigail Markham,https://api.disneyapi.dev/characters/17
"['The Fox and the Hound', 'The Fox and the Hound 2']",[],[],[],[],[],[],18,Abigail the Cow,https://api.disneyapi.dev/characters/18
[],[],['Once Upon a Time'],[],[],[],[],19,Abigail,https://api.disneyapi.dev/characters/19
[],[],['Elena of Avalor'],[],[],[],[],20,Queen Abigail,https://api.disneyapi.dev/characters/20
"['The Return of Jafar', 'Aladdin and the King of Thieves']",[],['Aladdin (TV series)'],[],[],[],[],21,Abis Mal's Thugs,https://api.disneyapi.dev/characters/21
[],[],['Tron: Uprising'],[],[],[],[],22,Able,https://api.disneyapi.dev/characters/22
[],[],[],['Tron: Evolution'],[],[],[],23,Abraxas,https://api.disneyapi.dev/characters/23
"['Alice in Wonderland (2010 film)', 'Alice Through the Looking Glass']",[],[],"['Alice in Wonderland (2010 video game)', 'Disney Universe', 'Disney Crossy Road']",[],[],[],24,Absolem,https://api.disneyapi.dev/characters/24
