video_id,title,publishedAt,viewCount,likeCount
Vh5caLyZrD8,"Learn how to code in #Python, #R, and more of the world's most popular languages on DataCamp.",2022-12-02T16:21:14Z,328,12
OsnXAcwWUhM,Using data science to predict who will win the #WorldCup ⚽🏆,2022-12-01T17:32:59Z,358,7
nqVpE5i80rA,#115 Inside the Generative AI Revolution (with Martin Musiol),2022-11-29T15:16:23Z,157,4
u2jKie6I_nE,DataCamp Donates x Ingressive For Good Scholarship,2022-11-25T13:42:15Z,225,6
l7dP62L9KNc,#114 How Chelsea FC Uses Analytics to Drive Matchday Success with Federico Bettuzzi,2022-11-22T15:59:49Z,434,15
dGZv0Ho9-7A,#113 Successful Frameworks for Scaling Data Maturity (with Ganes Kesari),2022-11-15T22:44:58Z,293,2
qe0qOcF6mKA,Robots That Write Their Own Code | The Weekly Roundup,2022-11-11T14:29:39Z,500,24
sbJW502ayH8,Shutterstock to Sell AI-Generated Images | The Weekly Roundup,2022-11-07T18:39:33Z,331,14
7_klRA8qykU,#112 Data Journalism in the Age of COVID 19 (with Betsy Ladyzhets),2022-11-07T18:36:01Z,250,9
P4koCnyt9MU,#111 The Rise of the Julia Programming Language( with Zacharias Voulgaris),2022-11-01T15:36:51Z,610,14
vnLyv7TAWYw,Meta Translates Non-Written Language | The Weekly Roundup,2022-10-28T13:00:10Z,284,8
55ZFalb5SbQ,#110 Behind the Scenes of Transamericas's Data Transformation (with Vanessa Gonzalez),2022-10-25T09:43:13Z,167,1
Rx6Qlgsl2es,Microsoft Announces AI-Image Generator: Designer | The Weekly Roundup,2022-10-24T13:51:59Z,270,12
UYQdN7CR8Qw,#109 How Data Leaders Can Build an Effective Talent Strategy (with Kyle Winterbottom),2022-10-21T06:23:34Z,273,6
0AfFWzAa3oc,Text-to-video Race Heats Up | The Weekly Roundup,2022-10-14T14:15:25Z,348,13
zasH_dfv8NI,#108 The Hallmarks of Successful Data Programs (with Sharon Castillo),2022-10-12T08:57:20Z,217,4
Xp7QQRxHNcI,Darth Vader To Be Voiced By AI In Future | The Weekly Roundup,2022-10-07T15:20:18Z,311,9
8q070Mfv0fY,Data fuels Space exploration 🚀,2022-10-06T19:14:51Z,507,16
il7BE1y2bxM,DataCamp for Business Demo,2022-10-06T09:12:37Z,566,14
ItgFsiy3fFY,Will you learn how to code for $1 this #SpaceWeek ‽🪐,2022-10-05T19:51:37Z,1142,35
jTh3Nah323U,#107 The Deep Learning Revolution in Space Science (with Justin Fletcher),2022-10-05T05:22:52Z,346,12
2ylhehaJYsc,"#106 How CBRE is Increasing Data Literacy for Over 3,000 Employees (with  Emily Hayward)",2022-10-04T18:07:41Z,192,3
tiyle3G_e64,World’s First AI-Generated Graphic Govel | The Weekly Roundup,2022-09-30T16:33:14Z,329,10
dwXYvPPfIUI,#105 What Data Visualization Means for Data Literacy (with Andy Cotgreave),2022-09-23T13:27:51Z,466,11
diKWEhkl0Z0,#Programming Problems 💻😓  [tiktok @codingtok],2022-09-23T13:25:11Z,6652,203
pDGrAqKoKHg,#104 How the Data Community Can Accelerate Your Data Career (with  Kate Strachnyi),2022-09-22T10:29:04Z,229,8
35m1rUQOZP8,AI-Generated Image Wins Art Competition | The Weekly Roundup,2022-09-20T05:00:02Z,400,10
vXOJYQWQEq0,Turtle Face Recognition | The Weekly Roundup,2022-09-08T12:42:18Z,596,16
z4mAz8NGw7k,#103 How Data Literacy Skills Help You Succeed (with Jordan Morrow),2022-09-07T15:32:36Z,464,8
9-44SF5P24o,#Coding days like this ✨,2022-08-31T17:55:38Z,2488,63
k2MvKOXRDSY,#102 How an Always-Learning Culture Drives Innovation at Shopify (with Ella Hilal),2022-08-31T14:40:59Z,356,5
ilcD874iFGA,DataCamp Donates is the Best Way to Transition into a Data Analyst Career,2022-08-28T13:43:00Z,1118,38
9YVylE_DqQI,"""Learn data science the best way possible with Datacamp"" #data #datascience",2022-08-26T17:36:15Z,1411,44
mwQJuinfYfM,TikTok introduces basic AI image generator | The Weekly Roundup,2022-08-26T10:30:45Z,400,13
mqxiOUG5t0U,#101 How Real-Time Data Accelerates Business Outcomes (with George Trujillo),2022-08-23T18:16:06Z,309,6
bLDf7EcEXO0,Using Deepfake tech to make movies PG13 | The Weekly Roundup,2022-08-19T14:15:03Z,443,21
XWeMz4M0a8Q,DataCamp Recruit: A better way to hire data professionals,2022-08-19T12:11:24Z,426,7
05m6Prh-NWA,#100 Embedded Machine Learning on Edge Devices(with Daniel Situnayake),2022-08-16T09:41:00Z,454,9
cCQGh5Ol8KA,Amazon Buys Company Behind Roomba | The Weekly Roundup,2022-08-12T14:23:15Z,436,13
cvcxLZ1P0ds,Visualizing Cost Savings in Tableau | Live Code-Along,2022-08-11T17:00:12Z,586,16
OFHwB6qLDRk,#99 Post-Deployment Data Science ( with Hakim Elakhrass),2022-08-08T18:21:27Z,325,5
Pyn660wo31k,Robots Can Now Learn From YouTube Videos | The Weekly Roundup,2022-08-04T19:11:15Z,429,16
CUmZiYIqSUE,#98 Interpretable Machine Learning (with Serg Masis),2022-08-02T18:32:19Z,526,15
pYpeYlvgRO8,AI beats human champion drone pilot | The Weekly Roundup,2022-07-28T14:06:11Z,439,16
kClXkoXH2AA,Sentiment analysis and prediction in Python | Live Code-Along,2022-07-27T17:00:14Z,1536,60
Zu4TMRsl8BE,#97 How Salesforce Created a High-Impact Data Science Organization (with Anjali Samani),2022-07-25T17:37:38Z,365,5
lLb05j5b6Dk,"Robotaxi Traffic Jams, AI Fact Checking | The Weekly Roundup",2022-07-22T12:27:03Z,298,15
G6t5J0fYUeo,#96 GPT-3 and our AI-Powered Future ( with Shubham Sahoo & Sandra Kublick,2022-07-18T18:23:02Z,445,14
iuJ2EUnq3A8,FIFA announces offside AI for World Cup | The Weekly Roundup,2022-07-15T15:32:28Z,431,19
c3xuDe1Oas8,#95 How to Build a Data Science Team from Scratch (with Elettra DaMaggio),2022-07-11T17:16:06Z,445,13
5q00rcjA1kM,How To Do A Classification Tree in Python | Machine Learning in Python | Databytes,2022-07-08T15:23:08Z,457,11
wf3WS4kQzec,Ace the Data Interview - 5 Virtual Interview Tips,2022-07-07T10:25:49Z,313,16
HAcwv31pEI8,Alexa Uses Voices Of The Dead | The Weekly Roundup,2022-07-06T18:19:53Z,325,8
avyNhHADvgA,#94 How Data Science Enables Better Decisions at Merck (with Suman Giri),2022-07-04T20:08:20Z,501,13
j1vCubfsN4s,"GPT4chan, The World’s Most Toxic AI | The Weekly Roundup",2022-06-30T15:08:12Z,462,11
